Method,Name,Error,Occurrences,First Seen,Last Seen
POST,POST /api/v1/leias/{sessionId}/messages,CatchResponseError('retry 1/2: status=500'),5,2026-05-16T11:19:21Z,2026-05-16T11:19:21Z
POST,POST /api/v1/leias/{sessionId}/messages,CatchResponseError('retry 1/2: status=0'),21,2026-05-16T11:19:11Z,2026-05-16T11:19:11Z
