Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/leias,14,0,7,7.278814285915099,5.538600000363658,8.654100000057952,86.0,0.02342689089524972,0.0,7,8,8,8,8,9,9,9,9,9,9
POST,POST /api/v1/leias/{sessionId}/messages [adversarial],152,0,11000,11313.639288815768,916.3355999999112,26157.0270000002,1486.7565789473683,0.25434910114842557,0.0,11000,16000,18000,19000,22000,24000,25000,26000,26000,26000,26000
ai_metric,ai_latency/adversarial,152,0,11000,11313.633281933633,916.449785232544,26157.230138778687,1450.1644736842106,0.25434910114842557,0.0,11000,16000,18000,19000,22000,24000,25000,26000,26000,26000,26000
adversarial_metric,injection_detected,42,0,0,0.0,0,0,0.0,0.07028067268574917,0.0,0,0,0,0,0,0,0,0,0,0,0
session_metric,session_complete/adversarial,4,0,273000,394660.6709957123,271000.6947517395,552720.1018333435,0.0,0.006693397398642778,0.0,482000,482000,553000,553000,553000,553000,553000,553000,553000,553000,553000
,Aggregated,364,0,7600,13785.9615882878,0,552720.1018333435,1229.7142857142858,0.6090991632764927,0.0,7700,15000,16000,18000,22000,24000,26000,271000,553000,553000,553000
