Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/leias,9,0,10,10.002277777857671,4.440700000486686,24.223000000347383,86.0,0.005031715316452371,0.0,10,10,10,10,24,24,24,24,24,24,24
POST,POST /api/v1/leias/{sessionId}/messages,135,0,17000,17136.217660000046,3728.0164000003424,25620.855799999845,2360.8074074074075,0.07547572974678557,0.0,17000,19000,20000,20000,22000,24000,25000,25000,26000,26000,26000
ai_metric,ai_latency/long,135,0,17000,17136.194151419182,3728.4884452819824,25620.585441589355,2314.9777777777776,0.07547572974678557,0.0,17000,19000,20000,20000,22000,24000,25000,25000,26000,26000,26000
session_metric,session_complete/long,4,0,1343000,1400228.7273406982,1332254.4512748718,1577512.3496055603,0.0,0.002236317918423276,0.0,1349000,1349000,1578000,1578000,1578000,1578000,1578000,1578000,1578000,1578000,1578000
,Aggregated,283,0,17000,36140.567224043785,4.440700000486686,1577512.3496055603,2233.2332155477034,0.1582194927284468,0.0,17000,19000,20000,20000,23000,24000,26000,1343000,1578000,1578000,1578000
