Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/leias,31,0,8,9.214916129020557,3.91719999970519,17.321799999990617,86.0,0.05187794392596629,0.0,8,10,12,12,15,17,17,17,17,17,17
POST,POST /api/v1/leias/{sessionId}/messages,213,0,11000,11030.845274647869,1185.8226000003924,22978.743499999837,1468.8169014084508,0.35645167923325227,0.0,11000,14000,16000,17000,19000,21000,22000,22000,23000,23000,23000
ai_metric,ai_latency/short,213,0,11000,11030.809788636758,1186.8019104003906,22978.797674179077,1426.1549295774648,0.35645167923325227,0.0,11000,14000,16000,17000,19000,21000,22000,22000,23000,23000,23000
session_metric,session_complete/short,11,0,477000,446841.75822951575,208851.55057907104,575070.4944133759,0.0,0.018408302683407395,0.0,477000,501000,512000,512000,565000,575000,575000,575000,575000,575000,575000
,Aggregated,468,0,10000,20544.182759410898,3.91719999970519,575070.4944133759,1323.2799145299145,0.7831896050758782,0.0,10000,13000,17000,17000,19000,21000,219000,491000,575000,575000,575000
